
[INFO] 15:56:56:183 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:183 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:183 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:183 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:183 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:183 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:183 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:183 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:183 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:183 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:184 BROKER/(7690:7701): El valor que lee es: 0.
